District,State,Built_1987,Built_2025,New_Built,Growth_Factor,Pct_Change,Centroid_Lon,Centroid_Lat
Ahmadnagar,Maharashtra,894,24954,24093,27.91275167785235,2691.2751677852348,74.67690160866124,19.203494703673204
Bangalore Rural,Karnataka,75,9597,9543,127.96,12696.0,77.5750111468746,13.225668022510044
Bangalore,Karnataka,60,3334,3294,55.56666666666667,5456.666666666667,77.5959361111298,12.950834965227093
Belgaum,Karnataka,4,1389,1389,347.25,34625.0,74.82298197390065,16.11944211706558
Chamrajnagar,Karnataka,146,10617,10482,72.71917808219177,7171.9178082191775,77.09975469032412,11.956894206283255
Chikmagalur,Karnataka,325,11240,10940,34.58461538461538,3358.461538461538,75.69134409907632,13.454274346875062
Coimbatore,Tamil Nadu,887,13172,12320,14.850056369785795,1385.0056369785796,76.97557995240567,10.8745243140674
Davanagere,Karnataka,866,8011,7168,9.250577367205542,825.0577367205542,75.95476982950318,14.408032101794216
Dharmapuri,Tamil Nadu,251,8591,8371,34.22709163346614,3322.709163346614,78.19578807517304,12.096885228654502
Dindigul,Tamil Nadu,88,1816,1731,20.636363636363637,1963.6363636363637,77.82003497140514,10.389759982835827
Erode,Tamil Nadu,499,11349,10898,22.743486973947896,2174.3486973947897,77.4143016601752,11.51520113368581
Haveri,Karnataka,33,1716,1683,52.0,5100.0,75.41771430149711,14.738084054685071
Idukki,Kerala,76,8325,8250,109.53947368421052,10853.947368421052,77.02746332784388,9.88219788260157
Kanniyakumari,Tamil Nadu,40,1268,1232,31.7,3070.0,77.36142879752663,8.30694148165024
Kodagu,Karnataka,6,5370,5364,895.0,89400.0,75.80327460010888,12.324364112919893
Kollam,Kerala,7,1257,1250,179.57142857142858,17857.14285714286,76.87486981736542,8.96099052098878
Kottayam,Kerala,6,890,884,148.33333333333334,14733.333333333334,76.65091935083271,9.63706545986632
Krishnagiri,Tamil Nadu,78,8953,8900,114.78205128205128,11378.205128205129,78.03269386938996,12.489038499130462
Madurai,Tamil Nadu,116,1880,1773,16.20689655172414,1520.689655172414,78.00629438663321,9.920962961486499
Nashik,Maharashtra,1645,19581,18045,11.903343465045593,1090.3343465045593,74.07141970056784,20.25921569001387
North Goa,Goa,160,15230,15151,95.1875,9418.75,73.98065655646572,15.5525333180921
Palakkad,Kerala,53,6036,5984,113.88679245283019,11288.67924528302,76.55858364529973,10.79464117363883
Pathanamthitta,Kerala,9,790,782,87.77777777777777,8677.777777777777,76.9289672359441,9.284060659374349
Pune,Maharashtra,424,33946,33529,80.06132075471699,7906.132075471699,74.06908184450864,18.57088499034529
Raigarh,Maharashtra,269,26660,26404,99.10780669144981,9810.78066914498,73.21483677857866,18.51719450685639
Ramanagara,Karnataka,71,7864,7813,110.7605633802817,10976.05633802817,77.33649865320666,12.678547150177844
Salem,Tamil Nadu,296,5717,5463,19.31418918918919,1831.418918918919,78.22214642340923,11.674057720048319
Shimoga,Karnataka,1025,17958,16999,17.52,1652.0,75.2206504010395,14.043552834807969
Sindhudurg,Maharashtra,63,8791,8786,139.53968253968253,13853.968253968253,73.73987562059432,16.134315333328704
South Goa,Goa,331,12166,11975,36.755287009063444,3575.5287009063445,74.11843614026688,15.196355198777045
Thane,Maharashtra,1690,26791,25208,15.852662721893491,1485.2662721893491,73.15089970889026,19.599154709651412
The Nilgiris,Tamil Nadu,144,8431,8288,58.548611111111114,5754.861111111111,76.64187724377237,11.455893469624826
Theni,Tamil Nadu,109,2381,2279,21.844036697247706,2084.4036697247707,77.43935833289697,9.89024253285196
Tirunelveli,Tamil Nadu,59,1703,1654,28.864406779661017,2786.4406779661017,77.54195375909035,8.798696915807534
Tiruppur,Tamil Nadu,77,1820,1746,23.636363636363637,2263.6363636363635,77.40541545256224,10.838129060462355
Udupi,Karnataka,3,1551,1548,517.0,51600.0,74.88349796961144,13.466688749559504
Uttara Kannada,Karnataka,366,11890,11585,32.486338797814206,3148.633879781421,74.6229174978789,14.794090319306237
Virudunagar,Tamil Nadu,36,618,582,17.166666666666668,1616.6666666666667,77.94308993890478,9.48397307990764
