grid_id,lon_min,lat_min,lon_max,lat_max,old_growth_km2,plantation_km2,total_forest_km2,old_growth_pct,plantation_pct
0,73.0,15.0,74.0,16.0,19.2672,535.0464,554.3136,3.4758663687847453,96.52413363121526
1,73.0,16.0,74.0,17.0,18.36,550.5552,568.9152,3.227194492254733,96.77280550774526
2,73.0,17.0,74.0,18.0,4.6224,295.1568,299.7792,1.5419348640599482,98.45806513594005
3,73.0,18.0,74.0,19.0,1.8576,187.3872,189.2448,0.981585755592756,99.01841424440725
4,73.0,19.0,74.0,20.0,1.3392,129.1104,130.4496,1.0266033778562755,98.97339662214371
5,73.0,20.0,74.0,20.376485589683107,0.0144,16.6032,16.6176,0.08665511265164644,99.91334488734836
6,74.0,12.0,75.0,13.0,0.0,3.4272,3.4272,0.0,100.0
7,74.0,13.0,75.0,14.0,151.8336,249.89759999999998,401.73119999999994,37.794824001720556,62.20517599827945
8,74.0,14.0,75.0,15.0,1801.0511999999999,663.5952,2464.6463999999996,73.07543994951973,26.924560050480267
9,74.0,15.0,75.0,16.0,610.6608,481.65119999999996,1092.312,55.90534572539715,44.09465427460286
10,74.0,16.0,75.0,17.0,4.896,30.7152,35.6112,13.748483623129804,86.25151637687021
11,75.0,11.0,76.0,12.0,734.2991999999999,444.8016,1179.1008,62.27620233995261,37.72379766004739
12,75.0,12.0,76.0,13.0,2096.136,3324.9744,5421.1104,38.666174369000124,61.33382563099988
13,75.0,13.0,76.0,14.0,2166.6096,2560.536,4727.1456,45.83335871863138,54.16664128136861
14,75.0,14.0,76.0,15.0,7.5168,412.64639999999997,420.16319999999996,1.7890191239975324,98.21098087600248
15,75.0,15.0,76.0,16.0,0.0,2.592,2.592,0.0,100.0
16,76.0,8.0,77.0,9.0,23.3856,64.2672,87.6528,26.679809429932643,73.32019057006735
17,76.0,9.0,77.0,10.0,761.8032,231.48,993.2832,76.69546812027022,23.30453187972977
18,76.0,10.0,77.0,11.0,2331.2016,616.0752,2947.2767999999996,79.0967987804878,20.903201219512198
19,76.0,11.0,77.0,12.0,1730.3328,1143.2592,2873.5919999999996,60.21497832677708,39.78502167322293
20,76.0,12.0,77.0,13.0,102.8016,128.7936,231.59519999999998,44.388484735434936,55.61151526456507
21,77.0,8.0,78.0,9.0,1475.5104,257.0112,1732.5215999999998,85.16548365111292,14.834516348887078
22,77.0,9.0,78.0,10.0,2619.4752,471.96,3091.4352,84.73330445354314,15.266695546456868
23,77.0,10.0,78.0,11.0,1236.2832,477.33119999999997,1713.6144,72.14477189267318,27.85522810732683
24,77.0,11.0,78.0,12.0,273.5856,63.4176,337.0032,81.1818997564415,18.81810024355852
25,77.0,12.0,78.0,13.0,52.559999999999995,116.1216,168.6816,31.159296568208976,68.84070343179101
